UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-12-09 09:15:00,HANØY,Feil på redningsmidler,68.54999999999998,14.899999999999999,,
2024-12-08 16:30:00,MULTI ELECTRIC,Arbeidsulykke/Personulykke,63.39999999999999,8.016665,0.0,1.0
2024-12-06 14:20:00,NORMAND OCEAN,Miljøskade/Forurensing,63.103665,7.7805,,
2024-12-06 03:00:00,MT SENIOR,Arbeidsulykke/Personulykke,70.83999999999999,22.220999999999997,0.0,1.0
2024-12-02 16:15:00,FJORDPRINSEN,Annen ulykke,68.92599999999999,17.125629999999997,,
2024-12-06 14:00:00,WILSON SKY,Arbeidsulykke/Personulykke,53.49382999999999,14.619164999999997,0.0,1.0
2024-12-07 01:00:00,GÅSØ ODIN,Grunnstøting,63.415665,8.404664999999998,,
2024-12-07 14:30:00,VESTFJORD,Lekkasje,57.462999999999994,6.879664999999999,,
2024-09-23 22:40:00,HARDHAUS,Grunnstøting,62.886665,6.954164999999999,,
2024-12-05 19:56:00,FINLANDIA SEAWAYS,Grunnstøting,59.29788,5.31463,,
2024-12-04 13:00:00,TORGTIND,Maskinhavari,65.6448,12.17368,,
2024-11-29 10:00:00,LIATIND,Annen ulykke,66.58999999999999,12.848329999999999,,
2024-12-04 18:00:00,FYKAN,Miljøskade/Forurensing,69.96583,19.629965,,
2024-12-01 20:35:00,ØYSERVICE,Grunnstøting,61.56583,4.78083,,
2024-12-03 05:33:00,GULLAAS,Maskinhavari,59.771665,5.549999999999999,,
2024-12-03 11:00:00,STAR ISTIND,Brann/Eksplosjon,43.546665,10.296664999999999,,
2024-05-15 18:00:00,Fritidsfartøy,Arbeidsulykke/Personulykke,59.57051499999999,10.404599999999999,1.0,0.0
2024-11-29 17:05:00,ROSFJORD,Annen ulykke,58.241665,6.631164999999999,,
2024-12-02 22:00:00,LINKEN,Grunnstøting,68.70832999999999,15.435165,,
2024-11-24 20:30:00,HALTBAKK BUNKER,Maskinhavari,67.266665,14.366664999999998,,
2024-11-30 18:30:00,LEINEBRIS,Arbeidsulykke/Personulykke,69.75,51.733329999999995,0.0,1.0
2024-11-27 11:00:00,SUPERSPEED 1,Arbeidsulykke/Personulykke,57.616665,9.883329999999999,0.0,1.0
2024-11-29 13:40:00,SØRDYRØY,Arbeidsulykke/Personulykke,70.64999999999999,23.683329999999998,0.0,1.0
2024-11-27 15:00:00,SØRØYSUND,Arbeidsulykke/Personulykke,69.63333,18.95,0.0,1.0
2024-11-26 12:00:00,Forsand,Arbeidsulykke/Personulykke,59.016664999999996,6.049999999999999,0.0,1.0
2024-11-29 20:10:00,AQS SAGA,"Kontaktskade, Kaier, Broer etc",67.8,15.766664999999998,,
2024-11-29 15:54:00,KRISTOFFER TRONDS,"Kontaktskade, Kaier, Broer etc",59.83333,5.716664999999999,,
2024-11-29 09:50:00,LURØY,Miljøskade/Forurensing,66.58332999999999,12.95,,
2024-11-29 08:30:00,BRE,"Kontaktskade, Kaier, Broer etc",67.266665,14.366664999999998,,
2024-11-29 07:37:00,WILSON PERTH,Maskinhavari,51.949999999999996,4.166664999999999,,
2024-11-26 14:15:00,Øyfjord,Arbeidsulykke/Personulykke,71.25,20.433329999999998,0.0,1.0
2024-11-28 14:00:00,VÅGSØY,Miljøskade/Forurensing,62.73332999999999,7.18333,,
2024-11-26 09:40:00,FOLDØY,Arbeidsulykke/Personulykke,62.43332999999999,6.35,0.0,1.0
2024-11-23 12:00:00,BERGFRI,Hardtværskade,70.68333,23.58333,,
2024-11-23 12:00:00,YANKEE V,Hardtværskade,70.68333,23.58333,,
2024-11-25 20:51:00,YARA KARA,Arbeidsulykke/Personulykke,45.58333,-1.4666649999999999,0.0,1.0
2024-11-26 03:00:00,VEIDNES,Arbeidsulykke/Personulykke,67.88333,15.183329999999998,0.0,1.0
2024-11-26 15:35:00,VANNES,"Kontaktskade, Kaier, Broer etc",69.96666499999999,19.616665,,
2024-11-16 10:00:00,RC LAKSEVÅG,"Kontaktskade, Kaier, Broer etc",60.391664999999996,5.259999999999999,,
2024-11-25 16:10:00,NORDSILD,Arbeidsulykke/Personulykke,69.48333,15.916665,0.0,1.0
2024-11-17 18:40:00,HIMMELTIND,Grunnstøting,66.53333,12.133329999999999,,
2024-11-24 22:14:00,SUPRA TIDE,"Kontaktskade, Kaier, Broer etc",56.68332999999999,2.3333299999999997,,
2024-11-23 04:00:00,MULTI NAVIGATOR,Arbeidsulykke/Personulykke,70.25,18.099999999999998,0.0,1.0
2024-11-24 00:00:00,MULTI EXPLORER,Arbeidsulykke/Personulykke,64.28332999999999,18.016664999999996,0.0,1.0
2024-11-24 15:15:00,Eline,Arbeidsulykke/Personulykke,59.199999999999996,6.08333,0.0,1.0
2024-11-23 05:10:00,HERMES,Arbeidsulykke/Personulykke,74.26666499999999,22.53333,0.0,1.0
2024-11-14 10:20:00,ASKELADDEN,Arbeidsulykke/Personulykke,61.199999999999996,2.1833299999999998,0.0,1.0
2024-11-21 03:30:00,LANGØY,Arbeidsulykke/Personulykke,69.75832999999999,15.966664999999997,0.0,1.0
2024-11-20 11:33:00,OSLO BULK 3,"Kontaktskade, Kaier, Broer etc",18.419999999999998,-70.02,,
2024-11-24 13:00:00,EDDA FLORA,Miljøskade/Forurensing,60.36666499999999,5.699999999999999,,
2024-11-21 18:30:00,ANTARCTIC PROVIDER,Arbeidsulykke/Personulykke,6.64,-25.686664999999998,0.0,1.0
2024-11-20 17:15:00,SIGRID,Hardtværskade,65.821665,12.430829999999998,,
2024-08-08 01:00:00,ISHAVET,Arbeidsulykke/Personulykke,62.47866499999999,6.196664999999999,0.0,1.0
2024-11-20 11:00:00,HAGLAND CAPTAIN,Arbeidsulykke/Personulykke,60.882,6.841499999999999,0.0,1.0
2024-10-30 13:50:00,INGØY,Arbeidsulykke/Personulykke,70.66399999999999,23.683165,0.0,1.0
2024-11-21 15:10:00,KEY WEST,Hardtværskade,66.365,12.37333,,
2024-11-20 11:30:00,EIDSVAAG OPAL,"Kontaktskade, Kaier, Broer etc",68.725,16.903329999999997,,
2024-11-18 00:50:00,HDW HERKULES - workboat,Annen ulykke,60.43999999999999,5.25333,,
2024-11-18 15:15:00,PELAGIA HAV,Arbeidsulykke/Personulykke,69.627665,18.947499999999998,0.0,1.0
2024-11-21 01:30:00,Tor,Stabilitetssvikt uten kantring,70.0505,21.7915,,
2024-11-15 10:00:00,BRE,"Kontaktskade, Kaier, Broer etc",67.289665,14.396164999999998,,
2024-10-21 21:40:00,HORDAFOR VII,Arbeidsulykke/Personulykke,67.28882999999999,14.377999999999998,0.0,1.0
2024-11-19 12:10:00,TORGHATTEN,Kollisjon,65.547,12.214065,,
2024-11-19 12:10:00,FRITIDSBÅT,Kollisjon,65.547,12.214065,,
2024-11-20 04:30:00,WILSON GAETA,Maskinhavari,61.40483,4.39883,,
2024-11-19 18:00:00,KOLBJØRN M,Arbeidsulykke/Personulykke,70.43566499999999,10.9545,0.0,1.0
2024-11-18 15:15:00,HOLLENDAREN,"Kontaktskade, Kaier, Broer etc",70.98333,24.833329999999997,,
2024-11-19 15:00:00,WILSON DOVER,"Kontaktskade, Kaier, Broer etc",55.47699999999999,8.419329999999999,,
2024-11-19 00:15:00,EMIL,"Kontaktskade, Kaier, Broer etc",57.681664999999995,10.674999999999999,,
2024-11-14 14:30:00,HORDAFOR II,Maskinhavari,64.04733,10.044329999999999,,
2024-11-16 06:45:00,DANTIC,"Kontaktskade, Kaier, Broer etc",56.979499999999994,15.718829999999997,,
2024-09-02 19:26:00,WILSON POLICE,"Kontaktskade, Kaier, Broer etc",52.46097999999999,4.578079999999999,,
2024-11-16 09:17:00,FRIDTJOF NANSEN,Maskinhavari,-62.663329999999995,-63.734999999999985,,
2024-11-13 16:15:00,GJEMNES,Arbeidsulykke/Personulykke,59.49032999999999,10.324499999999999,0.0,1.0
2024-11-17 19:55:00,SEIFJELL,Annen ulykke,70.78332999999999,23.65,,
2024-11-18 03:05:00,SCANBIO ELIDA,Brann/Eksplosjon,63.71666499999999,8.733329999999999,,
2024-11-13 00:10:00,FOSNA ARES,"Kontaktskade, Kaier, Broer etc",70.23333,22.316665,,
2024-11-13 09:18:00,YARA SELA,Arbeidsulykke/Personulykke,21.266665,-50.599999999999994,0.0,1.0
2024-11-17 03:00:00,EDMUND,Miljøskade/Forurensing,62.61666499999999,6.166665,,
2024-11-16 17:15:00,TORGHATTEN,"Kontaktskade, Kaier, Broer etc",65.58332999999999,12.299999999999999,,
2024-11-12 22:27:00,SPAR INDUS,Grunnstøting,-37.099999999999994,-73.44999999999999,,
2024-11-14 11:16:00,NEVERFJORD,Arbeidsulykke/Personulykke,70.55,22.95,0.0,1.0
2024-11-13 03:35:00,NORDKAPPFANGST,"Kontaktskade, Kaier, Broer etc",69.96666499999999,23.266665,,
